anio_mundial,jugador,seleccion,goles
1930,Guillermo Stabile,8,4
1930,Pedro Cea,5,4
1930,Bert Patenaude,4,3
1930,Juan Anselmo,3,2
1930,Ivica Bek,3,3
1930,Carlos Peucelle,3,4
1930,Preguinho,3,2
1930,Hector Castro,2,2
1930,Pablo Dorado,2,3
1930,Victoriano Iriarte,2,4
1930,Andre Maschinot,2,2
1930,Moderato,2,1
1930,Luis Monti,2,4
1930,Manuel Rosas,2,3
1930,Guillermo Subiabre,2,3
1930,Carlos Vidal,2,3
1930,Adolfo Zumelzu,2,1
1930,Jim Brown,1,3
1930,Juan Carreno,1,3
1930,Adalbert Desu,1,2
1930,Mario Evaristo,1,4
1930,Tom Florie,1,3
1930,Roberto Gayon,1,2
1930,Nicolae Kovacs,1,2
1930,Marcel Langiller,1,3
1930,Lucien Laurent,1,2
1930,Blagoje Marjanovic,1,3
1930,Bart Mcghee,1,3
1930,Hector Scarone,1,3
1930,Alejandro Scopelli,1,1
1930,Branislav Sekulic,1,2
1930,Luis Souza,1,2
1930,Constantin Stanciu,1,1
1930,Aleksandar Tirnanic,1,3
1930,Francisco Varallo,1,4
1930,Luis Vargas Pena,1,2
1930,Djordje Vujadinovic,1,3
