id_partido,anio_mundial,grupo,fecha,equipo_local,goles_local,goles_visitante,equipo_visitante,url_partido
1930_g1_1,1930,1,13-Jul-1930,Francia,4,1,México,../partidos/1930_francia_mexico.php
1930_g1_2,1930,1,15-Jul-1930,Argentina,1,0,Francia,../partidos/1930_argentina_francia.php
1930_g1_3,1930,1,16-Jul-1930,Chile,3,0,México,../partidos/1930_chile_mexico.php
1930_g1_4,1930,1,19-Jul-1930,Argentina,6,3,México,../partidos/1930_argentina_mexico.php
1930_g1_5,1930,1,19-Jul-1930,Chile,1,0,Francia,../partidos/1930_chile_francia.php
1930_g1_6,1930,1,22-Jul-1930,Argentina,3,1,Chile,../partidos/1930_argentina_chile.php
1930_g2_1,1930,2,14-Jul-1930,Yugoslavia,2,1,Brasil,../partidos/1930_yugoslavia_brasil.php
1930_g2_2,1930,2,17-Jul-1930,Yugoslavia,4,0,Bolivia,../partidos/1930_yugoslavia_bolivia.php
1930_g2_3,1930,2,20-Jul-1930,Brasil,4,0,Bolivia,../partidos/1930_brasil_bolivia.php
1930_g3_1,1930,3,14-Jul-1930,Rumania,3,1,Perú,../partidos/1930_rumania_peru.php
1930_g3_2,1930,3,18-Jul-1930,Uruguay,1,0,Perú,../partidos/1930_uruguay_peru.php
1930_g3_3,1930,3,21-Jul-1930,Uruguay,4,0,Rumania,../partidos/1930_uruguay_rumania.php
1930_g4_1,1930,4,13-Jul-1930,Estados Unidos,3,0,Bélgica,../partidos/1930_estados_unidos_belgica.php
1930_g4_2,1930,4,17-Jul-1930,Estados Unidos,3,0,Paraguay,../partidos/1930_estados_unidos_paraguay.php
1930_g4_3,1930,4,20-Jul-1930,Paraguay,1,0,Bélgica,../partidos/1930_paraguay_belgica.php
