id_partido,anio,num_partido,fecha,etapa,id_local,local,id_visitante,visitante,goles_local,goles_visitante,tiempo_extra,penales,penales_local,penales_visitante
1,2018,1,14-Jun-2018,"1ra Ronda, Grupo A",69,Rusia,4,Arabia Saudita,5,0,NO,NO,,
2,2018,2,15-Jun-2018,"1ra Ronda, Grupo A",28,Egipto,80,Uruguay,0,1,NO,NO,,
3,2018,3,15-Jun-2018,"1ra Ronda, Grupo B",65,Portugal,34,España,3,3,NO,NO,,
4,2018,4,15-Jun-2018,"1ra Ronda, Grupo B",55,Marruecos,48,Irán,0,1,NO,NO,,
5,2018,5,16-Jun-2018,"1ra Ronda, Grupo C",36,Francia,7,Australia,2,1,NO,NO,,
6,2018,6,16-Jun-2018,"1ra Ronda, Grupo C",63,Perú,26,Dinamarca,0,1,NO,NO,,
7,2018,7,16-Jun-2018,"1ra Ronda, Grupo D",6,Argentina,49,Islandia,1,1,NO,NO,,
8,2018,8,16-Jun-2018,"1ra Ronda, Grupo D",24,Croacia,57,Nigeria,2,0,NO,NO,,
9,2018,9,17-Jun-2018,"1ra Ronda, Grupo E",11,Brasil,74,Suiza,1,1,NO,NO,,
10,2018,10,17-Jun-2018,"1ra Ronda, Grupo E",22,Costa Rica,71,Serbia,0,1,NO,NO,,
11,2018,11,17-Jun-2018,"1ra Ronda, Grupo F",1,Alemania,56,México,0,1,NO,NO,,
12,2018,12,18-Jun-2018,"1ra Ronda, Grupo F",73,Suecia,21,Corea del Sur,1,0,NO,NO,,
13,2018,13,18-Jun-2018,"1ra Ronda, Grupo G",13,Bélgica,61,Panamá,3,0,NO,NO,,
14,2018,14,18-Jun-2018,"1ra Ronda, Grupo G",78,Túnez,44,Inglaterra,1,2,NO,NO,,
15,2018,15,19-Jun-2018,"1ra Ronda, Grupo H",64,Polonia,70,Senegal,1,2,NO,NO,,
16,2018,16,19-Jun-2018,"1ra Ronda, Grupo H",19,Colombia,53,Japón,1,2,NO,NO,,
17,2018,17,19-Jun-2018,"1ra Ronda, Grupo A",69,Rusia,28,Egipto,3,1,NO,NO,,
18,2018,18,20-Jun-2018,"1ra Ronda, Grupo A",80,Uruguay,4,Arabia Saudita,1,0,NO,NO,,
19,2018,19,20-Jun-2018,"1ra Ronda, Grupo B",65,Portugal,55,Marruecos,1,0,NO,NO,,
20,2018,20,20-Jun-2018,"1ra Ronda, Grupo B",48,Irán,34,España,0,1,NO,NO,,
21,2018,21,21-Jun-2018,"1ra Ronda, Grupo C",36,Francia,63,Perú,1,0,NO,NO,,
22,2018,22,21-Jun-2018,"1ra Ronda, Grupo C",26,Dinamarca,7,Australia,1,1,NO,NO,,
23,2018,23,21-Jun-2018,"1ra Ronda, Grupo D",6,Argentina,24,Croacia,0,3,NO,NO,,
24,2018,24,22-Jun-2018,"1ra Ronda, Grupo D",57,Nigeria,49,Islandia,2,0,NO,NO,,
25,2018,25,22-Jun-2018,"1ra Ronda, Grupo E",11,Brasil,22,Costa Rica,2,0,NO,NO,,
26,2018,26,22-Jun-2018,"1ra Ronda, Grupo E",71,Serbia,74,Suiza,1,2,NO,NO,,
27,2018,27,23-Jun-2018,"1ra Ronda, Grupo F",1,Alemania,73,Suecia,2,1,NO,NO,,
28,2018,28,23-Jun-2018,"1ra Ronda, Grupo F",21,Corea del Sur,56,México,1,2,NO,NO,,
29,2018,29,23-Jun-2018,"1ra Ronda, Grupo G",13,Bélgica,78,Túnez,5,2,NO,NO,,
30,2018,30,24-Jun-2018,"1ra Ronda, Grupo G",44,Inglaterra,61,Panamá,6,1,NO,NO,,
31,2018,31,24-Jun-2018,"1ra Ronda, Grupo H",64,Polonia,19,Colombia,0,3,NO,NO,,
32,2018,32,24-Jun-2018,"1ra Ronda, Grupo H",53,Japón,70,Senegal,2,2,NO,NO,,
33,2018,33,25-Jun-2018,"1ra Ronda, Grupo A",80,Uruguay,69,Rusia,3,0,NO,NO,,
34,2018,34,25-Jun-2018,"1ra Ronda, Grupo A",4,Arabia Saudita,28,Egipto,2,1,NO,NO,,
35,2018,35,25-Jun-2018,"1ra Ronda, Grupo B",48,Irán,65,Portugal,1,1,NO,NO,,
36,2018,36,25-Jun-2018,"1ra Ronda, Grupo B",34,España,55,Marruecos,2,2,NO,NO,,
37,2018,37,26-Jun-2018,"1ra Ronda, Grupo C",26,Dinamarca,36,Francia,0,0,NO,NO,,
38,2018,38,26-Jun-2018,"1ra Ronda, Grupo C",7,Australia,63,Perú,0,2,NO,NO,,
39,2018,39,26-Jun-2018,"1ra Ronda, Grupo D",57,Nigeria,6,Argentina,1,2,NO,NO,,
40,2018,40,26-Jun-2018,"1ra Ronda, Grupo D",49,Islandia,24,Croacia,1,2,NO,NO,,
41,2018,41,27-Jun-2018,"1ra Ronda, Grupo E",71,Serbia,11,Brasil,0,2,NO,NO,,
42,2018,42,27-Jun-2018,"1ra Ronda, Grupo E",74,Suiza,22,Costa Rica,2,2,NO,NO,,
43,2018,43,27-Jun-2018,"1ra Ronda, Grupo F",21,Corea del Sur,1,Alemania,2,0,NO,NO,,
