id_posicion_final,anio,posicion,id_seleccion,pais
1,2018,1,36,Francia
2,2018,2,24,Croacia
3,2018,3,13,Bélgica
4,2018,4,44,Inglaterra
5,2018,5,80,Uruguay
6,2018,6,11,Brasil
7,2018,7,73,Suecia
8,2018,8,69,Rusia
9,2018,9,19,Colombia
10,2018,10,34,España
11,2018,11,26,Dinamarca
12,2018,12,56,México
13,2018,13,65,Portugal
14,2018,14,74,Suiza
15,2018,15,53,Japón
16,2018,16,6,Argentina
17,2018,17,70,Senegal
18,2018,18,48,Irán
19,2018,19,21,Corea del Sur
20,2018,20,63,Perú
21,2018,21,57,Nigeria
22,2018,22,1,Alemania
23,2018,23,71,Serbia
24,2018,24,78,Túnez
25,2018,25,64,Polonia
26,2018,26,4,Arabia Saudita
27,2018,27,55,Marruecos
28,2018,28,49,Islandia
29,2018,29,22,Costa Rica
30,2018,30,7,Australia
31,2018,31,28,Egipto
32,2018,32,61,Panamá
