id_tarjeta,anio,id_seleccion,pais,jugador,amarillas,rojas
1,2018,19,Colombia,Carlos Sánchez,1,1
2,2018,1,Alemania,Jérôme Boateng,1,2
3,2018,74,Suiza,Michael Lang,1,3
4,2018,69,Rusia,Igor Smolnikov,1,1
5,2018,73,Suecia,Sebastian Larsson,3,4
6,2018,13,Bélgica,Toby Alderweireld,2,6
7,2018,61,Panamá,Michael Amir Murillo,2,2
8,2018,6,Argentina,Ever Banega,2,3
9,2018,19,Colombia,Wílmar Barrios,2,3
10,2018,74,Suiza,Valon Behrami,2,4
11,2018,80,Uruguay,Rodrigo Bentancur,2,5
12,2018,11,Brasil,Casemiro,2,4
13,2018,61,Panamá,Armando Cooper,2,2
14,2018,55,Marruecos,Karim El Ahmadi,2,3
15,2018,69,Rusia,Yury Gazinsky,2,4
16,2018,36,Francia,Lucas Hernandez,2,7
17,2018,56,México,Héctor Herrera,2,4
18,2018,21,Corea del Sur,Woo-young Jung,2,3
19,2018,26,Dinamarca,Mathias Jørgensen,2,3
20,2018,36,Francia,N'Golo Kanté,2,7
21,2018,74,Suiza,Stephan Lichtsteiner,2,3
22,2018,73,Suecia,Mikael Lustig,2,4
23,2018,44,Inglaterra,Harry Maguire,2,7
24,2018,24,Croacia,Mario Mandzukic,2,6
25,2018,6,Argentina,Javier Mascherano,2,4
26,2018,71,Serbia,Nemanja Matić,2,3
27,2018,36,Francia,Blaise Matuidi,2,5
28,2018,36,Francia,Kylian Mbappé,2,7
29,2018,13,Bélgica,Thomas Meunier,2,5
30,2018,71,Serbia,Aleksandar Mitrović,2,3
31,2018,56,México,Hector Moreno,2,3
32,2018,70,Senegal,M'Baye Niang,2,3
33,2018,6,Argentina,Nicolas Otamendi,2,4
34,2018,24,Croacia,Ante Rebic,2,6
35,2018,65,Portugal,Cristiano Ronaldo,2,4
36,2018,78,Túnez,Ferjani Sassi,2,3
37,2018,74,Suiza,Fabian Schär,2,3
38,2018,13,Bélgica,Jan Vertonghen,2,6
39,2018,24,Croacia,Sime Vrsaljko,2,6
40,2018,44,Inglaterra,Kyle Walker,2,5
41,2018,26,Dinamarca,Yussuf Yurary Poulsen,2,3
42,2018,22,Costa Rica,Johnny Acosta,1,3
43,2018,6,Argentina,Marcos Acuña,1,1
44,2018,4,Arabia Saudita,Taisir Al-Jassim,1,2
45,2018,56,México,Edson Álvarez,1,4
46,2018,48,Irán,Vahid Amiri,1,3
47,2018,55,Marruecos,Nordin Amrabat,1,3
48,2018,48,Irán,Karim Ansarifard,1,3
49,2018,63,Perú,Pedro Aquino,1,3
50,2018,19,Colombia,Santiago Arias,1,4
51,2018,7,Australia,Daniel Arzani,1,3
52,2018,61,Panamá,Ricardo Ávila,1,2
53,2018,48,Irán,Sardar Azmoun,1,3
54,2018,19,Colombia,Carlos Bacca,1,3
55,2018,78,Túnez,Anice Badri,1,3
56,2018,57,Nigeria,Leon Balogun,1,3
57,2018,61,Panamá,Édgar Joel  Bárcenas,1,3
58,2018,64,Polonia,Jan Bednarek,1,3
59,2018,7,Australia,Aziz Behich,1,3
60,2018,55,Marruecos,Medhi Benatia,1,2
61,2018,55,Marruecos,Mbark Boussoufa,1,3
62,2018,24,Croacia,Marcelo Brozovic,1,6
63,2018,34,España,Sergio Busquets,1,4
64,2018,22,Costa Rica,Francisco Calvo,1,2
65,2018,22,Costa Rica,Joel Campbell,1,2
66,2018,78,Túnez,Ghailene Chaalali,1,1
67,2018,73,Suecia,Viktor Claesson,1,5
