anio,num_partido,fecha,etapa,local,visitante,goles_local,goles_visitante,tiempo_extra,penales,penales_local,penales_visitante
2018,1,14-Jun-2018,"1ra Ronda, Grupo A",Rusia,Arabia Saudita,5,0,NO,NO,,
2018,2,15-Jun-2018,"1ra Ronda, Grupo A",Egipto,Uruguay,0,1,NO,NO,,
2018,3,15-Jun-2018,"1ra Ronda, Grupo B",Portugal,España,3,3,NO,NO,,
2018,4,15-Jun-2018,"1ra Ronda, Grupo B",Marruecos,Irán,0,1,NO,NO,,
2018,5,16-Jun-2018,"1ra Ronda, Grupo C",Francia,Australia,2,1,NO,NO,,
2018,6,16-Jun-2018,"1ra Ronda, Grupo C",Perú,Dinamarca,0,1,NO,NO,,
2018,7,16-Jun-2018,"1ra Ronda, Grupo D",Argentina,Islandia,1,1,NO,NO,,
2018,8,16-Jun-2018,"1ra Ronda, Grupo D",Croacia,Nigeria,2,0,NO,NO,,
2018,9,17-Jun-2018,"1ra Ronda, Grupo E",Brasil,Suiza,1,1,NO,NO,,
2018,10,17-Jun-2018,"1ra Ronda, Grupo E",Costa Rica,Serbia,0,1,NO,NO,,
2018,11,17-Jun-2018,"1ra Ronda, Grupo F",Alemania,México,0,1,NO,NO,,
2018,12,18-Jun-2018,"1ra Ronda, Grupo F",Suecia,Corea del Sur,1,0,NO,NO,,
2018,13,18-Jun-2018,"1ra Ronda, Grupo G",Bélgica,Panamá,3,0,NO,NO,,
2018,14,18-Jun-2018,"1ra Ronda, Grupo G",Túnez,Inglaterra,1,2,NO,NO,,
2018,15,19-Jun-2018,"1ra Ronda, Grupo H",Polonia,Senegal,1,2,NO,NO,,
2018,16,19-Jun-2018,"1ra Ronda, Grupo H",Colombia,Japón,1,2,NO,NO,,
2018,17,19-Jun-2018,"1ra Ronda, Grupo A",Rusia,Egipto,3,1,NO,NO,,
2018,18,20-Jun-2018,"1ra Ronda, Grupo A",Uruguay,Arabia Saudita,1,0,NO,NO,,
2018,19,20-Jun-2018,"1ra Ronda, Grupo B",Portugal,Marruecos,1,0,NO,NO,,
2018,20,20-Jun-2018,"1ra Ronda, Grupo B",Irán,España,0,1,NO,NO,,
2018,21,21-Jun-2018,"1ra Ronda, Grupo C",Francia,Perú,1,0,NO,NO,,
2018,22,21-Jun-2018,"1ra Ronda, Grupo C",Dinamarca,Australia,1,1,NO,NO,,
2018,23,21-Jun-2018,"1ra Ronda, Grupo D",Argentina,Croacia,0,3,NO,NO,,
2018,24,22-Jun-2018,"1ra Ronda, Grupo D",Nigeria,Islandia,2,0,NO,NO,,
2018,25,22-Jun-2018,"1ra Ronda, Grupo E",Brasil,Costa Rica,2,0,NO,NO,,
2018,26,22-Jun-2018,"1ra Ronda, Grupo E",Serbia,Suiza,1,2,NO,NO,,
2018,27,23-Jun-2018,"1ra Ronda, Grupo F",Alemania,Suecia,2,1,NO,NO,,
2018,28,23-Jun-2018,"1ra Ronda, Grupo F",Corea del Sur,México,1,2,NO,NO,,
2018,29,23-Jun-2018,"1ra Ronda, Grupo G",Bélgica,Túnez,5,2,NO,NO,,
2018,30,24-Jun-2018,"1ra Ronda, Grupo G",Inglaterra,Panamá,6,1,NO,NO,,
2018,31,24-Jun-2018,"1ra Ronda, Grupo H",Polonia,Colombia,0,3,NO,NO,,
2018,32,24-Jun-2018,"1ra Ronda, Grupo H",Japón,Senegal,2,2,NO,NO,,
2018,33,25-Jun-2018,"1ra Ronda, Grupo A",Uruguay,Rusia,3,0,NO,NO,,
