id_posicion_final;anio;posicion;id_seleccion;pais
1;2022;1;6;Argentina
2;2022;2;36;Francia
3;2022;3;24;Croacia
4;2022;4;55;Marruecos
5;2022;5;60;Paises Bajos
6;2022;6;44;Inglaterra
7;2022;7;11;Brasil
8;2022;8;65;Portugal
9;2022;9;53;Japón
10;2022;10;70;Senegal
11;2022;11;7;Australia
12;2022;12;74;Suiza
13;2022;13;34;España
14;2022;14;35;Estados Unidos
15;2022;15;64;Polonia
16;2022;16;21;Corea del Sur
17;2022;17;1;Alemania
18;2022;18;27;Ecuador
19;2022;19;14;Camerún
20;2022;20;80;Uruguay
21;2022;21;78;Túnez
22;2022;22;56;México
23;2022;23;13;Bélgica
24;2022;24;38;Ghana
25;2022;25;4;Arabia Saudita
26;2022;26;48;Irán
27;2022;27;22;Costa Rica
28;2022;28;26;Dinamarca
29;2022;29;71;Serbia
30;2022;30;37;Gales
31;2022;31;15;Canadá
32;2022;32;16;Catar
