id_tarjeta;anio;id_seleccion;pais;jugador;amarillas;rojas
1;2022;14;Camerún;Vincent Aboubakar;1;3
2;2022;55;Marruecos;Walid Cheddira;1;2
3;2022;60;Paises Bajos;Denzel Dumfries;1;5
4;2022;37;Gales;Wayne Heennesey;1;2
5;2022;6;Argentina;Marcos Acuña;3;6
6;2022;6;Argentina;Gonzalo Montiel;3;4
7;2022;4;Arabia Saudita;Abdulelah Al-Amri;2;3
8;2022;4;Arabia Saudita;Abdulelah Al-Malki;2;2
9;2022;22;Costa Rica;Francisco Calvo;2;2
10;2022;64;Polonia;Matty Cash;2;4
11;2022;7;Australia;Milos Degenek;2;4
12;2022;14;Camerún;Collins Faï;2;3
13;2022;71;Serbia;Nemanja Gudelj;2;2
14;2022;70;Senegal;Idrissa Gana Gueye;2;3
15;2022;7;Australia;Jackson Irvine;2;4
16;2022;53;Japón;Ko Itakura;2;3
17;2022;48;Irán;Alireza Jahanbakhsh;2;2
18;2022;21;Corea del Sur;Woo-young Jung;2;4
19;2022;24;Croacia;Mateo Kovacic;2;7
20;2022;71;Serbia;Sasa Lukic;2;3
21;2022;27;Ecuador;Jhegson Méndez;2;2
22;2022;71;Serbia;Nikola Milenković;2;3
23;2022;13;Bélgica;Amadou Onana;2;2
24;2022;6;Argentina;Nicolas Otamendi;2;7
25;2022;6;Argentina;Leandro Paredes;2;5
26;2022;71;Serbia;Strahinja Pavlovic;2;3
27;2022;6;Argentina;Cristian Romero;2;7
28;2022;74;Suiza;Fabian Schär;2;2
29;2022;38;Ghana;Alidu Seidu;2;2
30;2022;78;Túnez;Ali Abdi;1;3
31;2022;4;Arabia Saudita;Saud Abdulhamid;1;3
32;2022;35;Estados Unidos;Kellyn Acosta;1;2
33;2022;35;Estados Unidos;Tyler Adams;1;4
34;2022;15;Canadá;Sam Adekugbe;1;3
35;2022;16;Catar;Akram Afif;1;3
36;2022;16;Catar;Homam Ahmed;1;3
37;2022;74;Suiza;Manuel Akanji;1;4
38;2022;60;Paises Bajos;Nathan Aké;1;5
39;2022;16;Catar;Saad Al Sheeb;1;1
40;2022;4;Arabia Saudita;Nawaf Al-Abed;1;2
41;2022;4;Arabia Saudita;Ali Al-Bulaihi;1;3
42;2022;4;Arabia Saudita;Salem Al-Dawsari;1;3
43;2022;4;Arabia Saudita;Ali Al-Hassan;1;1
44;2022;4;Arabia Saudita;Mohammed Al-Owais;1;3
45;2022;4;Arabia Saudita;Saleh Al-Shehri;1;3
46;2022;16;Catar;Almoez Ali;1;3
47;2022;56;México;Roberto Alvarado;1;1
48;2022;56;México;Edson Álvarez;1;2
49;2022;55;Marruecos;Selim Amallah;1;7
50;2022;38;Ghana;Daniel Amartey;1;3
51;2022;55;Marruecos;Sofyan Amrabat;1;7
52;2022;56;México;Néstor Araujo;1;1
53;2022;38;Ghana;Andre Ayew;1;3
54;2022;4;Arabia Saudita;Hattan Bahebri;1;2
55;2022;37;Gales;Gareth Bale;1;3
56;2022;24;Croacia;Borna Barisic;1;1
57;2022;14;Camerún;Christian Bassogog;1;1
58;2022;7;Australia;Aziz Behich;1;4
59;2022;80;Uruguay;Rodrigo Bentancur;1;3
60;2022;64;Polonia;Bartosz Bereszyński;1;4
61;2022;60;Paises Bajos;Steven Berghuis;1;4
62;2022;60;Paises Bajos;Steven Bergwijn;1;4
63;2022;22;Costa Rica;Celso Borges;1;3
64;2022;16;Catar;Karim Boudiaf;1;3
65;2022;55;Marruecos;Sofiane Boufal;1;7
66;2022;24;Croacia;Marcelo Brozovic;1;6
67;2022;15;Canadá;Tajon Buchanan;1;3
68;2022;34;España;Sergio Busquets;1;4
69;2022;80;Uruguay;Martin Caceres;1;1
70;2022;27;Ecuador;Moisés Caicedo;1;3
71;2022;22;Costa Rica;Joel Campbell;1;3
72;2022;13;Bélgica;Yannick Carrasco;1;2
73;2022;11;Brasil;Casemiro;1;4
74;2022;80;Uruguay;Edinson Cavani;1;3
75;2022;21;Corea del Sur;Gue-sung Cho;1;4
76;2022;26;Dinamarca;Andreas Christensen;1;3
77;2022;70;Senegal;Pathé Ciss;1;3
78;2022;80;Uruguay;Sebastián Coates;1;2
79;2022;74;Suiza;Eray Cömert;1;2
80;2022;22;Costa Rica;Anthony Contreras;1;3
81;2022;26;Dinamarca;Andreas Cornelius;1;3
82;2022;11;Brasil;Danilo;1;3
83;2022;55;Marruecos;Achraf Dari;1;3
84;2022;15;Canadá;Alphonso Davies;1;3
85;2022;60;Paises Bajos;Frenkie de Jong;1;5
86;2022;60;Paises Bajos;Matthijs De Ligt;1;2
87;2022;36;Francia;Ousmane Dembélé;1;7
88;2022;13;Bélgica;Leander Dendoncker;1;2
89;2022;60;Paises Bajos;Memphis Depay;1;5
90;2022;35;Estados Unidos;Sergiño Dest;1;4
91;2022;70;Senegal;Boulaye Dia;1;4
92;2022;65;Portugal;Rúben Dias;1;4
93;2022;22;Costa Rica;Óscar Duarte;1;3
94;2022;7;Australia;Mitchell Duke;1;4
95;2022;74;Suiza;Nico Elvedi;1;2
96;2022;53;Japón;Wataru Endo;1;4
97;2022;65;Portugal;João Félix;1;4
98;2022;65;Portugal;Bruno Fernandes;1;4
99;2022;6;Argentina;Enzo Fernandez;1;7
100;2022;64;Polonia;Przemyslaw Frankowski;1;4
101;2022;11;Brasil;Fred;1;4
102;2022;80;Uruguay;José María Giménez;1;3
103;2022;36;Francia;Olivier Giroud;1;6
104;2022;1;Alemania;Leon Goretzka;1;3
105;2022;36;Francia;Antoine Griezmann;1;7
106;2022;11;Brasil;Bruno Guimaraes;1;2
107;2022;56;México;Érick Gutiérrez;1;1
108;2022;36;Francia;Théo Hernandez;1;6
