id_partido,anio,num_partido,fecha,etapa,id_local,local,id_visitante,visitante,goles_local,goles_visitante,tiempo_extra,penales,penales_local,penales_visitante
1,2022,1,20-Nov-2022,"1ra Ronda, Grupo A",16,Catar,27,Ecuador,0,2,NO,NO,,
2,2022,2,21-Nov-2022,"1ra Ronda, Grupo B",44,Inglaterra,48,Irán,6,2,NO,NO,,
3,2022,3,21-Nov-2022,"1ra Ronda, Grupo A",70,Senegal,60,Paises Bajos,0,2,NO,NO,,
4,2022,4,21-Nov-2022,"1ra Ronda, Grupo B",35,Estados Unidos,37,Gales,1,1,NO,NO,,
5,2022,5,22-Nov-2022,"1ra Ronda, Grupo C",6,Argentina,4,Arabia Saudita,1,2,NO,NO,,
6,2022,6,22-Nov-2022,"1ra Ronda, Grupo D",26,Dinamarca,78,Túnez,0,0,NO,NO,,
7,2022,7,22-Nov-2022,"1ra Ronda, Grupo C",56,México,64,Polonia,0,0,NO,NO,,
8,2022,8,22-Nov-2022,"1ra Ronda, Grupo D",36,Francia,7,Australia,4,1,NO,NO,,
9,2022,9,23-Nov-2022,"1ra Ronda, Grupo F",55,Marruecos,24,Croacia,0,0,NO,NO,,
10,2022,10,23-Nov-2022,"1ra Ronda, Grupo E",1,Alemania,53,Japón,1,2,NO,NO,,
11,2022,11,23-Nov-2022,"1ra Ronda, Grupo E",34,España,22,Costa Rica,7,0,NO,NO,,
12,2022,12,23-Nov-2022,"1ra Ronda, Grupo F",13,Bélgica,15,Canadá,1,0,NO,NO,,
13,2022,13,24-Nov-2022,"1ra Ronda, Grupo G",74,Suiza,14,Camerún,1,0,NO,NO,,
14,2022,14,24-Nov-2022,"1ra Ronda, Grupo H",80,Uruguay,21,Corea del Sur,0,0,NO,NO,,
15,2022,15,24-Nov-2022,"1ra Ronda, Grupo H",65,Portugal,38,Ghana,3,2,NO,NO,,
16,2022,16,24-Nov-2022,"1ra Ronda, Grupo G",11,Brasil,71,Serbia,2,0,NO,NO,,
17,2022,17,25-Nov-2022,"1ra Ronda, Grupo B",37,Gales,48,Irán,0,2,NO,NO,,
18,2022,18,25-Nov-2022,"1ra Ronda, Grupo A",16,Catar,70,Senegal,1,3,NO,NO,,
19,2022,19,25-Nov-2022,"1ra Ronda, Grupo A",60,Paises Bajos,27,Ecuador,1,1,NO,NO,,
20,2022,20,25-Nov-2022,"1ra Ronda, Grupo B",44,Inglaterra,35,Estados Unidos,0,0,NO,NO,,
21,2022,21,26-Nov-2022,"1ra Ronda, Grupo D",78,Túnez,7,Australia,0,1,NO,NO,,
22,2022,22,26-Nov-2022,"1ra Ronda, Grupo C",64,Polonia,4,Arabia Saudita,2,0,NO,NO,,
23,2022,23,26-Nov-2022,"1ra Ronda, Grupo D",36,Francia,26,Dinamarca,2,1,NO,NO,,
24,2022,24,26-Nov-2022,"1ra Ronda, Grupo C",6,Argentina,56,México,2,0,NO,NO,,
25,2022,25,27-Nov-2022,"1ra Ronda, Grupo E",53,Japón,22,Costa Rica,0,1,NO,NO,,
26,2022,26,27-Nov-2022,"1ra Ronda, Grupo F",13,Bélgica,55,Marruecos,0,2,NO,NO,,
27,2022,27,27-Nov-2022,"1ra Ronda, Grupo F",24,Croacia,15,Canadá,4,1,NO,NO,,
28,2022,28,27-Nov-2022,"1ra Ronda, Grupo E",34,España,1,Alemania,1,1,NO,NO,,
29,2022,29,28-Nov-2022,"1ra Ronda, Grupo G",14,Camerún,71,Serbia,3,3,NO,NO,,
30,2022,30,28-Nov-2022,"1ra Ronda, Grupo H",21,Corea del Sur,38,Ghana,2,3,NO,NO,,
31,2022,31,28-Nov-2022,"1ra Ronda, Grupo G",11,Brasil,74,Suiza,1,0,NO,NO,,
32,2022,32,28-Nov-2022,"1ra Ronda, Grupo H",65,Portugal,80,Uruguay,2,0,NO,NO,,
33,2022,33,29-Nov-2022,"1ra Ronda, Grupo A",60,Paises Bajos,16,Catar,2,0,NO,NO,,
34,2022,34,29-Nov-2022,"1ra Ronda, Grupo A",27,Ecuador,70,Senegal,1,2,NO,NO,,
35,2022,35,29-Nov-2022,"1ra Ronda, Grupo B",37,Gales,44,Inglaterra,0,3,NO,NO,,
36,2022,36,29-Nov-2022,"1ra Ronda, Grupo B",48,Irán,35,Estados Unidos,0,1,NO,NO,,
37,2022,37,30-Nov-2022,"1ra Ronda, Grupo D",7,Australia,26,Dinamarca,1,0,NO,NO,,
