anio,grupo,pais,pts,pj,pg,pe,pp,gf,gc,diferencia,clasificado
2022,Grupo A,Paises Bajos,7,3,2,1,0,5,1,4,Si
2022,Grupo A,Senegal,6,3,2,0,1,5,4,1,Si
2022,Grupo A,Ecuador,4,3,1,1,1,4,3,1,No
2022,Grupo A,Catar,0,3,0,0,3,1,7,-6,No
2022,Grupo B,Inglaterra,7,3,2,1,0,9,2,7,Si
2022,Grupo B,Estados Unidos,5,3,1,2,0,2,1,1,Si
2022,Grupo B,Irán,3,3,1,0,2,4,7,-3,No
2022,Grupo B,Gales,1,3,0,1,2,1,6,-5,No
2022,Grupo C,Argentina,6,3,2,0,1,5,2,3,Si
2022,Grupo C,Polonia,4,3,1,1,1,2,2,0,Si
2022,Grupo C,México,4,3,1,1,1,2,3,-1,No
2022,Grupo C,Arabia Saudita,3,3,1,0,2,3,5,-2,No
2022,Grupo D,Francia,6,3,2,0,1,6,3,3,Si
2022,Grupo D,Australia,6,3,2,0,1,3,4,-1,Si
2022,Grupo D,Túnez,4,3,1,1,1,1,1,0,No
2022,Grupo D,Dinamarca,1,3,0,1,2,1,3,-2,No
2022,Grupo E,Japón,6,3,2,0,1,4,3,1,Si
2022,Grupo E,España,4,3,1,1,1,9,3,6,Si
2022,Grupo E,Alemania,4,3,1,1,1,6,5,1,No
2022,Grupo E,Costa Rica,3,3,1,0,2,3,11,-8,No
2022,Grupo F,Marruecos,7,3,2,1,0,4,1,3,Si
2022,Grupo F,Croacia,5,3,1,2,0,4,1,3,Si
2022,Grupo F,Bélgica,4,3,1,1,1,1,2,-1,No
2022,Grupo F,Canadá,0,3,0,0,3,2,7,-5,No
2022,Grupo G,Brasil,6,3,2,0,1,3,1,2,Si
2022,Grupo G,Suiza,6,3,2,0,1,4,3,1,Si
2022,Grupo G,Camerún,4,3,1,1,1,4,4,0,No
2022,Grupo G,Serbia,1,3,0,1,2,5,8,-3,No
2022,Grupo H,Portugal,6,3,2,0,1,6,4,2,Si
2022,Grupo H,Corea del Sur,4,3,1,1,1,4,4,0,Si
2022,Grupo H,Uruguay,4,3,1,1,1,2,2,0,No
2022,Grupo H,Ghana,3,3,1,0,2,5,7,-2,No
