id_gol,id_partido,anio,id_seleccion,equipo,id_jugador,jugador,minuto,es_penal,es_autogol
1,1,1930,36,Francia,3966,Lucien Laurent,19,NO,NO
2,1,1930,36,Francia,3963,Marcel Langiller,40,NO,NO
3,1,1930,36,Francia,3988,Andre Maschinot,43,NO,NO
4,1,1930,36,Francia,3988,Andre Maschinot,87,NO,NO
5,1,1930,56,México,7679,Juan Carreno,70,NO,NO
6,2,1930,6,Argentina,5694,Luis Monti,81,NO,NO
7,3,1930,17,Chile,786,Carlos Vidal,3,NO,NO
8,3,1930,17,Chile,7854,Manuel Rosas,51,NO,SI
9,3,1930,17,Chile,786,Carlos Vidal,65,NO,NO
10,4,1930,6,Argentina,5415,Guillermo Stabile,8,NO,NO
11,4,1930,6,Argentina,5445,Adolfo Zumelzu,12,NO,NO
12,4,1930,6,Argentina,5415,Guillermo Stabile,17,NO,NO
13,4,1930,6,Argentina,5434,Francisco Varallo,53,NO,NO
14,4,1930,6,Argentina,5445,Adolfo Zumelzu,55,NO,NO
15,4,1930,6,Argentina,5415,Guillermo Stabile,80,NO,NO
16,4,1930,56,México,7854,Manuel Rosas,42,SI,NO
17,4,1930,56,México,7854,Manuel Rosas,65,NO,NO
18,4,1930,56,México,7732,Roberto Gayon,75,NO,NO
19,5,1930,17,Chile,766,Guillermo Subiabre,65,NO,NO
20,6,1930,6,Argentina,5415,Guillermo Stabile,12,NO,NO
21,6,1930,6,Argentina,5415,Guillermo Stabile,13,NO,NO
22,6,1930,6,Argentina,5246,Mario Evaristo,51,NO,NO
23,6,1930,17,Chile,766,Guillermo Subiabre,15,NO,NO
24,7,1930,,Yugoslavia,3749,Aleksandar Tirnanic,21,NO,NO
25,7,1930,,Yugoslavia,3544,Ivica Bek,30,NO,NO
26,7,1930,11,Brasil,1767,Preguinho,62,NO,NO
27,8,1930,,Yugoslavia,3544,Ivica Bek,60,NO,NO
28,8,1930,,Yugoslavia,3645,Blagoje Marjanovic,65,NO,NO
29,8,1930,,Yugoslavia,3544,Ivica Bek,67,NO,NO
30,8,1930,,Yugoslavia,3760,Djordje Vujadinovic,85,NO,NO
31,9,1930,11,Brasil,1729,Moderato,37,NO,NO
32,9,1930,11,Brasil,1767,Preguinho,67,NO,NO
33,9,1930,11,Brasil,1729,Moderato,73,NO,NO
34,9,1930,11,Brasil,1767,Preguinho,83,NO,NO
35,10,1930,68,Rumania,1875,Adalbert Desu,1,NO,NO
36,10,1930,68,Rumania,1946,Constantin Stanciu,79,NO,NO
37,10,1930,68,Rumania,1897,Nicolae Kovacs,89,NO,NO
38,10,1930,63,Perú,2216,Luis Souza,75,NO,NO
39,11,1930,80,Uruguay,5838,Hector Castro,60,NO,NO
40,12,1930,80,Uruguay,5861,Pablo Dorado,7,NO,NO
41,12,1930,80,Uruguay,5995,Hector Scarone,24,NO,NO
42,12,1930,80,Uruguay,5810,Juan Anselmo,30,NO,NO
43,12,1930,80,Uruguay,5842,Pedro Cea,35,NO,NO
44,13,1930,35,Estados Unidos,2844,Bart Mcghee,23,NO,NO
45,13,1930,35,Estados Unidos,2799,Tom Florie,45,NO,NO
46,13,1930,35,Estados Unidos,2861,Bert Patenaude,69,NO,NO
47,14,1930,35,Estados Unidos,2861,Bert Patenaude,10,NO,NO
48,14,1930,35,Estados Unidos,2861,Bert Patenaude,15,NO,NO
49,14,1930,35,Estados Unidos,2861,Bert Patenaude,50,NO,NO
50,15,1930,62,Paraguay,4434,Luis Vargas Pena,40,NO,NO
51,34,1930,6,Argentina,5694,Luis Monti,20,NO,NO
52,34,1930,6,Argentina,5403,Alejandro Scopelli,56,NO,NO
53,34,1930,6,Argentina,5415,Guillermo Stabile,69,NO,NO
54,34,1930,6,Argentina,5363,Carlos Peucelle,80,NO,NO
55,34,1930,6,Argentina,5363,Carlos Peucelle,85,NO,NO
56,34,1930,6,Argentina,5415,Guillermo Stabile,87,NO,NO
57,34,1930,35,Estados Unidos,2761,Jim Brown,89,NO,NO
58,34,1930,80,Uruguay,5842,Pedro Cea,18,NO,NO
59,34,1930,80,Uruguay,5810,Juan Anselmo,20,NO,NO
60,34,1930,80,Uruguay,5810,Juan Anselmo,31,NO,NO
61,34,1930,80,Uruguay,5900,Victoriano Iriarte,61,NO,NO
62,34,1930,80,Uruguay,5842,Pedro Cea,67,NO,NO
63,34,1930,80,Uruguay,5842,Pedro Cea,72,NO,NO
64,34,1930,,Yugoslavia,3721,Branislav Sekulic,4,NO,NO
65,34,1930,6,Argentina,5363,Carlos Peucelle,20,NO,NO
66,34,1930,6,Argentina,5415,Guillermo Stabile,37,NO,NO
67,34,1930,80,Uruguay,5861,Pablo Dorado,12,NO,NO
68,34,1930,80,Uruguay,5842,Pedro Cea,57,NO,NO
