id_goleador,anio,id_seleccion,seleccion,id_jugador,jugador,goles,partidos,promedio
1,1930,6,Argentina,5415,Guillermo Stabile,8,4,2.0
2,1930,80,Uruguay,5842,Pedro Cea,5,4,1.25
3,1930,35,Estados Unidos,2861,Bert Patenaude,4,3,1.33
4,1930,80,Uruguay,5810,Juan Anselmo,3,2,1.5
5,1930,,Yugoslavia,3544,Ivica Bek,3,3,1.0
6,1930,6,Argentina,5363,Carlos Peucelle,3,4,0.75
7,1930,11,Brasil,1767,Preguinho,3,2,1.5
8,1930,80,Uruguay,5838,Hector Castro,2,2,1.0
9,1930,80,Uruguay,5861,Pablo Dorado,2,3,0.67
10,1930,80,Uruguay,5900,Victoriano Iriarte,2,4,0.5
11,1930,36,Francia,3988,Andre Maschinot,2,2,1.0
12,1930,11,Brasil,1729,Moderato,2,1,2.0
13,1930,6,Argentina,5694,Luis Monti,2,4,0.5
14,1930,56,México,7854,Manuel Rosas,2,3,0.67
15,1930,17,Chile,766,Guillermo Subiabre,2,3,0.67
16,1930,17,Chile,786,Carlos Vidal,2,3,0.67
17,1930,6,Argentina,5445,Adolfo Zumelzu,2,1,2.0
18,1930,35,Estados Unidos,2761,Jim Brown,1,3,0.33
19,1930,56,México,7679,Juan Carreno,1,3,0.33
20,1930,68,Rumania,1875,Adalbert Desu,1,2,0.5
21,1930,6,Argentina,5246,Mario Evaristo,1,4,0.25
22,1930,35,Estados Unidos,2799,Tom Florie,1,3,0.33
23,1930,56,México,7732,Roberto Gayon,1,2,0.5
24,1930,68,Rumania,1897,Nicolae Kovacs,1,2,0.5
25,1930,36,Francia,3963,Marcel Langiller,1,3,0.33
26,1930,36,Francia,3966,Lucien Laurent,1,2,0.5
27,1930,,Yugoslavia,3645,Blagoje Marjanovic,1,3,0.33
28,1930,35,Estados Unidos,2844,Bart Mcghee,1,3,0.33
29,1930,80,Uruguay,5995,Hector Scarone,1,3,0.33
30,1930,6,Argentina,5403,Alejandro Scopelli,1,1,1.0
31,1930,,Yugoslavia,3721,Branislav Sekulic,1,2,0.5
32,1930,63,Perú,2216,Luis Souza,1,2,0.5
33,1930,68,Rumania,1946,Constantin Stanciu,1,1,1.0
34,1930,,Yugoslavia,3749,Aleksandar Tirnanic,1,3,0.33
35,1930,6,Argentina,5434,Francisco Varallo,1,4,0.25
36,1930,62,Paraguay,4434,Luis Vargas Pena,1,2,0.5
37,1930,,Yugoslavia,3760,Djordje Vujadinovic,1,3,0.33
38,1934,,Checoslovaquia,537,Oldrich Nejedly,5,4,1.25
39,1934,1,Alemania,6077,Edmund Conen,4,4,1.0
40,1934,51,Italia,5757,Angelo Schiavio,4,4,1.0
41,1934,74,Suiza,8129,Leopold Kielholz,3,2,1.5
42,1934,51,Italia,5713,Raimundo Orsi,3,5,0.6
43,1934,28,Egipto,2084,Abdulrahman Fawzi,2,1,2.0
44,1934,51,Italia,5627,Giovanni Ferrari,2,4,0.5
45,1934,1,Alemania,6146,Karl Hohmann,2,2,1.0
46,1934,8,Austria,4586,Johann Horvath,2,2,1.0
47,1934,34,España,4949,Iraragorri,2,2,1.0
48,1934,73,Suecia,3424,Sven Jonasson,2,2,1.0
49,1934,1,Alemania,6198,Ernest Lehner,2,4,0.5
50,1934,51,Italia,5689,Giuseppe Meazza,2,5,0.4
51,1934,,Checoslovaquia,560,Antonin Puc,2,4,0.5
52,1934,,Checoslovaquia,585,Frantisek Svoboda,2,3,0.67
53,1934,42,Hungría,7618,Geza Toldi,2,2,1.0
54,1934,13,Bélgica,6753,Bernard Voorhoof,2,1,2.0
55,1934,74,Suiza,8033,Andre Abegglen,1,2,0.5
56,1934,6,Argentina,5184,Ernesto Belis,1,1,1.0
57,1934,8,Austria,4552,Josef Bican,1,4,0.25
58,1934,68,Rumania,1877,Stefan Dobay,1,1,1.0
59,1934,35,Estados Unidos,2788,Aldo Donelli,1,1,1.0
60,1934,73,Suecia,3372,Gosta Dunker,1,2,0.5
61,1934,6,Argentina,5260,Alberto Galateo,1,1,1.0
62,1934,51,Italia,5653,Enrique Guaita,1,4,0.25
63,1934,74,Suiza,8125,Willy Jaeggi,1,1,1.0
64,1934,1,Alemania,6178,Stanislaus Kobierski,1,3,0.33
65,1934,73,Suecia,3438,Knut Kroon,1,2,0.5
66,1934,34,España,4964,Isidro Langara,1,2,0.5
67,1934,11,Brasil,1690,Leonidas,1,1,1.0
68,1934,36,Francia,3998,Jean Nicolas,1,1,1.0
69,1934,1,Alemania,6234,Rudolf Noack,1,1,1.0
70,1934,34,España,7836,Luis Regueiro,1,2,0.5
71,1934,42,Hungría,7596,Gyorgy Sarosi,1,1,1.0
72,1934,8,Austria,4639,Toni Schall,1,2,0.5
73,1934,8,Austria,4646,Karl Sesta,1,4,0.25
74,1934,1,Alemania,6283,Otto Siffling,1,4,0.25
75,1934,8,Austria,4647,Matthias Sindelar,1,3,0.33
76,1934,60,Paises Bajos,6480,Kick Smit,1,1,1.0
77,1934,42,Hungría,7615,Pal Teleki,1,1,1.0
78,1934,60,Paises Bajos,6526,Leen Vente,1,1,1.0
79,1934,36,Francia,4067,Georges Verriest,1,1,1.0
80,1934,42,Hungría,7631,Jeno Vincze,1,1,1.0
81,1934,8,Austria,4669,Karl Zischek,1,4,0.25
82,1938,11,Brasil,1690,Leonidas,7,4,1.75
83,1938,51,Italia,5732,Silvio Piola,5,4,1.25
84,1938,42,Hungría,7596,Gyorgy Sarosi,5,4,1.25
85,1938,42,Hungría,7634,Gyula Zsengeller,5,4,1.25
86,1938,51,Italia,5591,Gino Colaussi,4,3,1.33
87,1938,64,Polonia,3178,Ernest Wilimowski,4,1,4.0
88,1938,74,Suiza,8033,Andre Abegglen,3,3,1.0
89,1938,73,Suecia,3432,Tore Keller,3,2,1.5
90,1938,73,Suecia,3480,Arne Nyberg,3,3,1.0
91,1938,11,Brasil,1761,Peracio,3,4,0.75
92,1938,11,Brasil,1792,Romeu,3,4,0.75
93,1938,25,Cuba,2431,Hector Socorro,3,3,1.0
94,1938,73,Suecia,3532,Gustav Wetterstrom,3,2,1.5
95,1938,68,Rumania,1877,Stefan Dobay,2,2,1.0
96,1938,,Checoslovaquia,537,Oldrich Nejedly,2,2,1.0
97,1938,36,Francia,3998,Jean Nicolas,2,2,1.0
98,1938,73,Suecia,3342,Harry Andersson,1,3,0.33
99,1938,68,Rumania,1852,Iuliu Baratky,1,2,0.5
100,1938,74,Suiza,8051,Fredy Bickel,1,3,0.33
101,1938,68,Rumania,1856,Silviu Bindea,1,1,1.0
102,1938,58,Noruega,7396,Arne Brustad,1,1,1.0
103,1938,25,Cuba,2426,Tomas Fernandez,1,3,0.33
104,1938,51,Italia,5630,Pietro Ferraris,1,1,1.0
105,1938,1,Alemania,6102,Josef Gauchel,1,1,1.0
106,1938,1,Alemania,6118,Wilhelm Hahnemann,1,2,0.5
107,1938,36,Francia,3936,Oscar Heisserer,1,2,0.5
108,1938,13,Bélgica,6638,Henri Isemborghs,1,1,1.0
109,1938,73,Suecia,3424,Sven Jonasson,1,3,0.33
110,1938,42,Hungría,7553,Vilmos Kohut,1,2,0.5
111,1938,,Checoslovaquia,503,Vlastimil Kopecky,1,3,0.33
112,1938,,Checoslovaquia,506,Josef Kostalek,1,3,0.33
113,1938,25,Cuba,2428,Jose Magrina,1,2,0.5
114,1938,51,Italia,5689,Giuseppe Meazza,1,4,0.25
115,1938,11,Brasil,5047,Roberto,1,2,0.5
116,1938,42,Hungría,7598,Ferenc Sas,1,4,0.25
117,1938,64,Polonia,3162,Fryedryk Szerfke,1,1,1.0
118,1938,42,Hungría,7617,Pal Titkos,1,2,0.5
119,1938,42,Hungría,7618,Geza Toldi,1,2,0.5
120,1938,36,Francia,4064,Emile Veinante,1,2,0.5
121,1938,74,Suiza,8219,Eugen Walachek,1,3,0.33
122,1938,,Checoslovaquia,597,Josef Zeman,1,1,1.0
123,1950,11,Brasil,1519,Ademir,9,6,1.5
124,1950,80,Uruguay,5927,Oscar Miguez,5,4,1.25
125,1950,34,España,4875,Estanislao Basora,4,6,0.67
126,1950,11,Brasil,1582,Chico,4,4,1.0
127,1950,80,Uruguay,5881,Alcides Ghiggia,4,4,1.0
128,1950,34,España,5099,Zarra,4,6,0.67
129,1950,73,Suecia,3488,Karl-Erik Palmer,3,5,0.6
130,1950,80,Uruguay,5996,Juan Schiaffino,3,4,0.75
131,1950,73,Suecia,3514,Stig Sundqvist,3,5,0.6
132,1950,73,Suecia,3349,Sune Andersson,2,5,0.4
133,1950,11,Brasil,1546,Baltazar,2,2,1.0
134,1950,,Yugoslavia,3554,Zeljko Cajkovski,2,3,0.67
135,1950,51,Italia,5572,Riccardo Carapellese,2,2,1.0
136,1950,17,Chile,656,Atilio Cremaschi,2,3,0.67
137,1950,74,Suiza,8087,Jackie Fatton,2,3,0.67
138,1950,34,España,4947,Silvestre Igoa,2,5,0.4
139,1950,11,Brasil,1660,Jair,2,5,0.4
140,1950,73,Suecia,3419,Hans Jeppsson,2,4,0.5
141,1950,,Yugoslavia,3750,Kosta Tomasevic,2,3,0.67
142,1950,11,Brasil,1846,Zizinho,2,4,0.5
143,1950,11,Brasil,1528,Alfredo Ii,1,1,1.0
144,1950,74,Suiza,8042,Kiki Antenen,1,2,0.5
145,1950,74,Suiza,8043,Rene Bader,1,3,0.33
146,1950,,Yugoslavia,3546,Stjepan Bobek,1,3,0.33
147,1950,56,México,7681,Horacio Casarin,1,3,0.33
148,1950,11,Brasil,1635,Friaca,1,4,0.25
149,1950,35,Estados Unidos,2801,Joe Gaetjens,1,3,0.33
150,1950,62,Paraguay,4385,Atilio Lopez,1,2,0.5
151,1950,62,Paraguay,4387,Cesar Lopez Fretes,1,2,0.5
152,1950,35,Estados Unidos,2838,Joe Maca,1,3,0.33
153,1950,11,Brasil,1704,Maneca,1,4,0.25
