anio,id_grupo,selecciones
1930,1,"Argentina, Chile, Francia, México"
1930,2,"Bolivia, Brasil, Yugoslavia"
1930,3,"Perú, Rumania, Uruguay"
1930,4,"Bélgica, Estados Unidos, Paraguay"
1950,1,"Brasil, México, Suiza, Yugoslavia"
1950,2,"Chile, España, Estados Unidos, Inglaterra"
1950,3,"Italia, Paraguay, Suecia"
1950,4,"Bolivia, Uruguay"
1950,F,"Brasil, España, Suecia, Uruguay"
1954,1,"Brasil, Francia, México, Yugoslavia"
1954,2,"Alemania Occidental, Corea del Sur, Hungría, Turquía"
1954,3,"Austria, Checoslovaquia, Escocia, Uruguay"
1954,4,"Bélgica, Inglaterra, Italia, Suiza"
1958,1,"Alemania Occidental, Argentina, Checoslovaquia, Irlanda del Norte"
1958,2,"Escocia, Francia, Paraguay, Yugoslavia"
1958,3,"Gales, Hungría, México, Suecia"
1958,4,"Austria, Brasil, Inglaterra, URSS"
1962,1,"Colombia, URSS, Uruguay, Yugoslavia"
1962,2,"Alemania Occidental, Chile, Italia, Suiza"
1962,3,"Brasil, Checoslovaquia, España, México"
1962,4,"Argentina, Bulgaria, Hungría, Inglaterra"
1966,1,"Francia, Inglaterra, México, Uruguay"
1966,2,"Alemania Occidental, Argentina, España, Suiza"
1966,3,"Brasil, Bulgaria, Hungría, Portugal"
1966,4,"Chile, Corea del Norte, Italia, URSS"
1970,1,"Bélgica, El Salvador, México, URSS"
1970,2,"Israel, Italia, Suecia, Uruguay"
1970,3,"Brasil, Checoslovaquia, Inglaterra, Rumania"
1970,4,"Alemania Occidental, Bulgaria, Marruecos, Perú"
1974,1,"Alemania Occidental, Alemania Oriental, Australia, Chile"
1974,2,"Brasil, Escocia, Yugoslavia, Zaire"
1974,3,"Bulgaria, Paises Bajos, Suecia, Uruguay"
1974,4,"Argentina, Haití, Italia, Polonia"
1974,A,"Alemania Oriental, Argentina, Brasil, Paises Bajos"
1974,B,"Alemania Occidental, Polonia, Suecia, Yugoslavia"
1978,1,"Argentina, Francia, Hungría, Italia"
1978,2,"Alemania Occidental, México, Polonia, Túnez"
1978,3,"Austria, Brasil, España, Suecia"
1978,4,"Escocia, Irán, Paises Bajos, Perú"
1978,A,"Alemania Occidental, Austria, Italia, Paises Bajos"
1978,B,"Argentina, Brasil, Perú, Polonia"
