id_tarjeta,anio,id_seleccion,seleccion,id_jugador,jugador,amarillas,rojas
1,1966,6,Argentina,5374,Antonio Rattin,1,1
2,1966,80,Uruguay,6000,Hector Silva,1,1
3,1966,6,Argentina,5154,Rafael Albrecht,0,1
4,1966,88,URSS,275,Igor Chislenko,0,1
5,1966,80,Uruguay,6016,Horacio Troche,0,1
6,1966,87,Alemania Occidental,6051,Franz Beckenbauer,2,0
7,1966,6,Argentina,5165,Luis Artime,1,0
8,1966,65,Portugal,3211,Coluna,1,0
9,1966,11,Brasil,1593,Denilson,1,0
10,1966,12,Bulgaria,2923,Dinko Dermendzhiev,1,0
11,1966,65,Portugal,3228,Eusebio,1,0
12,1966,34,España,4932,Jesus Glaria,1,0
13,1966,88,URSS,325,Galimzyan Khusainov,1,0
14,1966,12,Bulgaria,2958,Ivan Kolev,1,0
15,1966,17,Chile,700,Ruben Marcos,1,0
16,1966,87,Alemania Occidental,6239,Wolfgang Overath,1,0
17,1966,44,Inglaterra,1365,Martin Peters,1,0
18,1966,88,URSS,384,Yozhef Sabo,1,0
19,1966,6,Argentina,5410,Jorge Solari,1,0
20,1966,44,Inglaterra,1405,Nobby Stiles,1,0
21,1966,88,URSS,417,Valeri Voronin,1,0
22,1966,87,Alemania Occidental,6313,Wolfgang Weber,1,0
23,1966,12,Bulgaria,3024,Dobromir Zhechev,1,0
24,1970,80,Uruguay,5871,Dagoberto Fontes,2,0
25,1970,44,Inglaterra,1322,Francis Lee,2,0
26,1970,87,Alemania Occidental,6223,Gerd Mueller,2,0
27,1970,56,México,7819,Gustavo Pena,2,0
28,1970,50,Israel,997,David Primo,2,0
29,1970,88,URSS,252,Kakhi Asatiani,1,0
30,1970,50,Israel,988,Shraga Bar,1,0
31,1970,50,Israel,989,Menachem Bello,1,0
32,1970,88,URSS,262,Anatoly Bishovets,1,0
33,1970,51,Italia,5553,Roberto Boninsegna,1,0
34,1970,51,Italia,5562,Tarcisio Burgnich,1,0
35,1970,11,Brasil,1571,Carlos Alberto,1,0
36,1970,80,Uruguay,5847,Julio Cortes,1,0
37,1970,73,Suecia,3370,Claes Cronqvist,1,0
38,1970,51,Italia,5608,Giancarlo De Sisti,1,0
39,1970,86,Checoslovaquia,458,Karol Dobias,1,0
40,1970,51,Italia,5617,Angelo Domenghini,1,0
41,1970,68,Rumania,1884,Ion Dumitru,1,0
42,1970,29,El Salvador,827,Salvador Flamenco Cabezas,1,0
43,1970,11,Brasil,1640,Gerson,1,0
44,1970,86,Checoslovaquia,477,Alexander Horvath,1,0
45,1970,88,URSS,322,Vitali Khmelnitski,1,0
46,1970,86,Checoslovaquia,518,Andrej Kvasnak,1,0
47,1970,87,Alemania Occidental,6203,Hennes Loehr,1,0
48,1970,88,URSS,347,Gennadi Logofet,1,0
49,1970,87,Alemania Occidental,6204,Max Lorenz,1,0
50,1970,88,URSS,348,Evgeni Lovchev,1,0
51,1970,29,El Salvador,834,Raul Magana,1,0
52,1970,80,Uruguay,5913,Ildo Maneiro,1,0
53,1970,29,El Salvador,836,Salvador Mariona,1,0
54,1970,29,El Salvador,838,Sergio Mendez,1,0
55,1970,68,Rumania,1909,Mihai Mocanu,1,0
56,1970,80,Uruguay,5930,Julio Montero Castillo,1,0
57,1970,80,Uruguay,5935,Juan Mujica,1,0
58,1970,88,URSS,367,Givili Nodiya,1,0
59,1970,68,Rumania,1918,Radu Nunweiller,1,0
60,1970,87,Alemania Occidental,6239,Wolfgang Overath,1,0
61,1970,73,Suecia,3492,Orjan Persson,1,0
62,1970,11,Brasil,1782,Rivelino,1,0
63,1970,51,Italia,5747,Gianni Rivera,1,0
64,1970,51,Italia,5750,Roberto Rosato,1,0
65,1970,13,Bélgica,6703,Jean Thissen,1,0
66,1970,11,Brasil,1816,Tostao,1,0
67,1970,80,Uruguay,6017,Luis Ubina,1,0
68,1970,56,México,7883,Javier Valdivia,1,0
69,1970,13,Bélgica,6720,Paul Van Himst,1,0
70,1974,17,Chile,648,Carlos Caszely,1,1
71,1974,11,Brasil,1695,Luis Pereira,1,1
72,1974,80,Uruguay,5930,Julio Montero Castillo,0,1
73,1974,,Zaire,6823,Ndaye Mulamba,0,1
74,1974,7,Australia,7356,Ray Richards,0,1
75,1974,6,Argentina,5171,Carlos Babington,3,0
76,1974,40,Haití,2439,Pierre Bayonne,2,0
