anio,grupo,num_partido,fecha,local,visitante,equipo,minuto,jugador,es_penal
2022,Grupo A,1,20-Nov-2022,Catar,Ecuador,Ecuador,16,Enner Valencia,SI
2022,Grupo A,1,20-Nov-2022,Catar,Ecuador,Ecuador,31,Enner Valencia,NO
2022,Grupo A,2,21-Nov-2022,Senegal,Paises Bajos,Paises Bajos,84,Cody Gakpo,NO
2022,Grupo A,2,21-Nov-2022,Senegal,Paises Bajos,Paises Bajos,90,Davy Klaassen,NO
2022,Grupo A,3,25-Nov-2022,Catar,Senegal,Senegal,41,Boulaye Dia,NO
2022,Grupo A,3,25-Nov-2022,Catar,Senegal,Senegal,48,Famara Diéhiou,NO
2022,Grupo A,3,25-Nov-2022,Catar,Senegal,Senegal,84,Bamba Dieng,NO
2022,Grupo A,4,25-Nov-2022,Paises Bajos,Ecuador,Ecuador,49,Enner Valencia,NO
2022,Grupo A,6,29-Nov-2022,Ecuador,Senegal,Senegal,44,Ismaïla Sarr,NO
2022,Grupo A,6,29-Nov-2022,Ecuador,Senegal,Senegal,70,Kalidou Koulibaly,NO
2022,Grupo B,1,21-Nov-2022,Inglaterra,Irán,Irán,65,Mehdi Taremi,NO
2022,Grupo B,1,21-Nov-2022,Inglaterra,Irán,Irán,90,Mehdi Taremi,SI
2022,Grupo B,2,21-Nov-2022,Estados Unidos,Gales,Gales,82,Gareth Bale,SI
2022,Grupo B,3,25-Nov-2022,Gales,Irán,Irán,90,Rouzbeh Cheshmi,NO
2022,Grupo B,3,25-Nov-2022,Gales,Irán,Irán,90,Ramin Rezaeian,NO
2022,Grupo B,5,29-Nov-2022,Gales,Inglaterra,Inglaterra,50,Marcus Rashford,NO
2022,Grupo B,5,29-Nov-2022,Gales,Inglaterra,Inglaterra,51,Phil Foden,NO
2022,Grupo B,5,29-Nov-2022,Gales,Inglaterra,Inglaterra,68,Marcus Rashford,NO
2022,Grupo B,6,29-Nov-2022,Irán,Estados Unidos,Estados Unidos,38,Christian Pulisic,NO
2022,Grupo C,1,22-Nov-2022,Argentina,Arabia Saudita,Arabia Saudita,48,Saleh Al-Shehri,NO
2022,Grupo C,1,22-Nov-2022,Argentina,Arabia Saudita,Arabia Saudita,53,Salem Al-Dawsari,NO
2022,Grupo C,5,30-Nov-2022,Arabia Saudita,México,México,47,Henry Martin,NO
2022,Grupo C,5,30-Nov-2022,Arabia Saudita,México,México,52,Luis Chávez,NO
2022,Grupo C,6,30-Nov-2022,Polonia,Argentina,Argentina,46,Alexis Mac Allister,NO
2022,Grupo C,6,30-Nov-2022,Polonia,Argentina,Argentina,67,Julian Alvarez,NO
2022,Grupo D,2,22-Nov-2022,Francia,Australia,Australia,9,Craig Goodwin,NO
2022,Grupo D,3,26-Nov-2022,Túnez,Australia,Australia,23,Mitchell Duke,NO
2022,Grupo D,4,26-Nov-2022,Francia,Dinamarca,Dinamarca,68,Andreas Christensen,NO
2022,Grupo E,1,23-Nov-2022,Alemania,Japón,Japón,75,Ritsu Doan,NO
2022,Grupo E,1,23-Nov-2022,Alemania,Japón,Japón,83,Takuma Asano,NO
2022,Grupo E,3,27-Nov-2022,Japón,Costa Rica,Costa Rica,81,Keysher Fuller,NO
2022,Grupo E,4,27-Nov-2022,España,Alemania,Alemania,83,Niclas Füllkrug,NO
2022,Grupo E,5,01-Dec-2022,Japón,España,España,11,Álvaro Morata,NO
2022,Grupo E,6,01-Dec-2022,Costa Rica,Alemania,Alemania,10,Serge Gnabry,NO
2022,Grupo E,6,01-Dec-2022,Costa Rica,Alemania,Alemania,73,Kai Havertz,NO
2022,Grupo E,6,01-Dec-2022,Costa Rica,Alemania,Alemania,85,Kai Havertz,NO
2022,Grupo E,6,01-Dec-2022,Costa Rica,Alemania,Alemania,89,Niclas Füllkrug,NO
2022,Grupo F,3,27-Nov-2022,Bélgica,Marruecos,Marruecos,73,Romain Saïss,NO
2022,Grupo F,3,27-Nov-2022,Bélgica,Marruecos,Marruecos,90,Zakaria Aboukhlal,NO
2022,Grupo F,4,27-Nov-2022,Croacia,Canadá,Canadá,2,Alphonso Davies,NO
2022,Grupo F,6,01-Dec-2022,Canadá,Marruecos,Marruecos,4,Hakim Ziyech,NO
2022,Grupo F,6,01-Dec-2022,Canadá,Marruecos,Marruecos,23,Youssef En-Nesyri,NO
2022,Grupo G,3,28-Nov-2022,Camerún,Serbia,Serbia,45,Strahinja Pavlovic,NO
2022,Grupo G,3,28-Nov-2022,Camerún,Serbia,Serbia,45,Sergej Milinković-Savić,NO
2022,Grupo G,3,28-Nov-2022,Camerún,Serbia,Serbia,53,Aleksandar Mitrović,NO
2022,Grupo G,5,02-Dec-2022,Serbia,Suiza,Suiza,20,Xherdan Shaqiri,NO
2022,Grupo G,5,02-Dec-2022,Serbia,Suiza,Suiza,44,Breel Embolo,NO
