id_gol,id_partido,anio,num_partido,id_seleccion,equipo,id_jugador,jugador,minuto,es_penal
1,1,2022,1,27,Ecuador,76,Enner Valencia,16,SI
2,1,2022,1,27,Ecuador,76,Enner Valencia,31,NO
3,2,2022,2,60,Paises Bajos,6405,Cody Gakpo,84,NO
4,2,2022,2,60,Paises Bajos,6428,Davy Klaassen,90,NO
5,3,2022,3,70,Senegal,1021,Boulaye Dia,41,NO
6,3,2022,3,70,Senegal,1028,Famara Diehiou,48,NO
7,3,2022,3,70,Senegal,1029,Bamba Dieng,84,NO
8,4,2022,4,27,Ecuador,76,Enner Valencia,49,NO
9,6,2022,6,70,Senegal,1068,Ismaila Sarr,44,NO
10,6,2022,6,70,Senegal,1044,Kalidou Koulibaly,70,NO
11,1,2022,1,48,Irán,4178,Mehdi Taremi,65,NO
12,1,2022,1,48,Irán,4178,Mehdi Taremi,90,SI
13,2,2022,2,37,Gales,2532,Gareth Bale,82,SI
14,3,2022,3,48,Irán,4094,Rouzbeh Cheshmi,90,NO
15,3,2022,3,48,Irán,4167,Ramin Rezaeian,90,NO
16,5,2022,5,44,Inglaterra,1373,Marcus Rashford,50,NO
17,5,2022,5,44,Inglaterra,1274,Phil Foden,51,NO
18,5,2022,5,44,Inglaterra,1373,Marcus Rashford,68,NO
19,6,2022,6,35,Estados Unidos,2865,Christian Pulisic,38,NO
20,1,2022,1,4,Arabia Saudita,4814,Saleh Al-shehri,48,NO
21,1,2022,1,4,Arabia Saudita,4797,Salem Al-dawsari,53,NO
22,5,2022,5,56,México,7778,Henry Martin,47,NO
23,5,2022,5,56,México,7689,Luis Chavez,52,NO
24,6,2022,6,6,Argentina,5305,Alexis Mac Allister,46,NO
25,6,2022,6,6,Argentina,5159,Julian Alvarez,67,NO
26,2,2022,2,7,Australia,7312,Craig Goodwin,9,NO
27,3,2022,3,7,Australia,7306,Mitchell Duke,23,NO
28,4,2022,4,26,Dinamarca,4198,Andreas Christensen,68,NO
29,1,2022,1,53,Japón,83,Ritsu Doan,75,NO
30,1,2022,1,53,Japón,82,Takuma Asano,83,NO
31,3,2022,3,22,Costa Rica,1998,Keysher Fuller,81,NO
32,4,2022,4,1,Alemania,6101,Niclas Fullkrug,83,NO
33,5,2022,5,34,España,4996,Alvaro Morata,11,NO
34,6,2022,6,1,Alemania,6107,Serge Gnabry,10,NO
35,6,2022,6,1,Alemania,6124,Kai Havertz,73,NO
36,6,2022,6,1,Alemania,6124,Kai Havertz,85,NO
37,6,2022,6,1,Alemania,6101,Niclas Fullkrug,89,NO
38,3,2022,3,55,Marruecos,8400,Romain Saiss,73,NO
39,3,2022,3,55,Marruecos,8294,Zakaria Aboukhlal,90,NO
40,4,2022,4,15,Canadá,2463,Alphonso Davies,2,NO
41,6,2022,6,55,Marruecos,8410,Hakim Ziyech,4,NO
42,6,2022,6,55,Marruecos,8357,Youssef En-nesyri,23,NO
43,3,2022,3,71,Serbia,3692,Strahinja Pavlovic,45,NO
44,3,2022,3,71,Serbia,3657,Sergej Milinkovic-savic,45,NO
45,3,2022,3,71,Serbia,3666,Aleksandar Mitrovic,53,NO
46,5,2022,5,74,Suiza,8190,Xherdan Shaqiri,20,NO
47,5,2022,5,74,Suiza,8084,Breel Embolo,44,NO
48,5,2022,5,74,Suiza,8095,Remo Freuler,48,NO
49,2,2022,2,38,Ghana,1462,Andre Ayew,73,NO
50,2,2022,2,38,Ghana,1468,Osman Bukari,89,NO
51,3,2022,3,38,Ghana,1502,Mohammed Salisu,24,NO
52,3,2022,3,38,Ghana,1479,Mohammed Kudus,34,NO
53,3,2022,3,38,Ghana,1479,Mohammed Kudus,68,NO
54,5,2022,5,80,Uruguay,5853,Giorgian De Arrascaeta,26,NO
55,5,2022,5,80,Uruguay,5853,Giorgian De Arrascaeta,32,NO
56,6,2022,6,65,Portugal,3245,Ricardo Horta,5,NO
