id_goleador,anio,id_seleccion,pais,id_jugador,jugador,goles,partidos,promedio
1,2022,36,Francia,3992,Kylian Mbappe,8,7,1.14
2,2022,6,Argentina,5318,Lionel Messi,7,7,1.0
3,2022,6,Argentina,5159,Julian Alvarez,4,7,0.57
4,2022,36,Francia,3923,Olivier Giroud,4,6,0.67
5,2022,60,Paises Bajos,6405,Cody Gakpo,3,5,0.6
6,2022,34,España,4996,Alvaro Morata,3,4,0.75
7,2022,65,Portugal,3302,Goncalo Ramos,3,4,0.75
8,2022,44,Inglaterra,1373,Marcus Rashford,3,5,0.6
9,2022,11,Brasil,1779,Richarlison,3,4,0.75
10,2022,44,Inglaterra,1382,Bukayo Saka,3,4,0.75
11,2022,27,Ecuador,76,Enner Valencia,3,3,1.0
12,2022,14,Camerún,861,Vincent Aboubakar,2,3,0.67
13,2022,4,Arabia Saudita,4797,Salem Al-dawsari,2,3,0.67
14,2022,21,Corea del Sur,6932,Gue-sung Cho,2,4,0.5
15,2022,80,Uruguay,5853,Giorgian De Arrascaeta,2,2,1.0
16,2022,53,Japón,83,Ritsu Doan,2,4,0.5
17,2022,74,Suiza,8084,Breel Embolo,2,4,0.5
18,2022,55,Marruecos,8357,Youssef En-nesyri,2,7,0.29
19,2022,65,Portugal,3230,Bruno Fernandes,2,4,0.5
20,2022,1,Alemania,6101,Niclas Fullkrug,2,3,0.67
21,2022,1,Alemania,6124,Kai Havertz,2,2,1.0
22,2022,44,Inglaterra,1312,Harry Kane,2,5,0.4
23,2022,24,Croacia,1111,Andrej Kramaric,2,7,0.29
24,2022,38,Ghana,1479,Mohammed Kudus,2,3,0.67
25,2022,65,Portugal,3258,Rafael Leao,2,5,0.4
26,2022,64,Polonia,3112,Robert Lewandowski,2,4,0.5
27,2022,71,Serbia,3666,Aleksandar Mitrovic,2,3,0.67
28,2022,11,Brasil,1735,Neymar Jr.,2,3,0.67
29,2022,48,Irán,4178,Mehdi Taremi,2,3,0.67
30,2022,34,España,5077,Ferran Torres,2,4,0.5
31,2022,60,Paises Bajos,6533,Wout Weghorst,2,4,0.5
32,2022,55,Marruecos,8294,Zakaria Aboukhlal,1,4,0.25
33,2022,74,Suiza,8037,Manuel Akanji,1,4,0.25
34,2022,4,Arabia Saudita,4814,Saleh Al-shehri,1,3,0.33
35,2022,53,Japón,82,Takuma Asano,1,4,0.25
36,2022,34,España,4869,Marco Asensio,1,4,0.25
37,2022,38,Ghana,1462,Andre Ayew,1,3,0.33
38,2022,37,Gales,2532,Gareth Bale,1,3,0.33
39,2022,13,Bélgica,6550,Michy Batshuayi,1,2,0.5
40,2022,44,Inglaterra,1217,Jude Bellingham,1,5,0.2
41,2022,60,Paises Bajos,6365,Daley Blind,1,5,0.2
42,2022,38,Ghana,1468,Osman Bukari,1,2,0.5
43,2022,27,Ecuador,18,Moises Caicedo,1,3,0.33
44,2022,11,Brasil,1576,Casemiro,1,4,0.25
45,2022,14,Camerún,875,Jean-charles Castelletto,1,2,0.5
46,2022,56,México,7689,Luis Chavez,1,3,0.33
47,2022,48,Irán,4094,Rouzbeh Cheshmi,1,2,0.5
48,2022,14,Camerún,877,Eric Maxim Choupo Moting,1,3,0.33
49,2022,26,Dinamarca,4198,Andreas Christensen,1,3,0.33
50,2022,55,Marruecos,8335,Achraf Dari,1,3,0.33
51,2022,15,Canadá,2463,Alphonso Davies,1,3,0.33
52,2022,60,Paises Bajos,6387,Frenkie De Jong,1,5,0.2
53,2022,60,Paises Bajos,6397,Memphis Depay,1,5,0.2
54,2022,6,Argentina,5238,Angel Di Maria,1,5,0.2
55,2022,70,Senegal,1021,Boulaye Dia,1,4,0.25
56,2022,70,Senegal,1028,Famara Diehiou,1,2,0.5
57,2022,70,Senegal,1029,Bamba Dieng,1,4,0.25
58,2022,7,Australia,7306,Mitchell Duke,1,4,0.25
59,2022,60,Paises Bajos,6400,Denzel Dumfries,1,5,0.2
60,2022,65,Portugal,3229,Joao Felix,1,4,0.25
61,2022,6,Argentina,5251,Enzo Fernandez,1,7,0.14
62,2022,44,Inglaterra,1274,Phil Foden,1,4,0.25
63,2022,74,Suiza,8095,Remo Freuler,1,4,0.25
64,2022,22,Costa Rica,1998,Keysher Fuller,1,3,0.33
65,2022,34,España,4930,Gavi,1,4,0.25
66,2022,1,Alemania,6107,Serge Gnabry,1,3,0.33
67,2022,7,Australia,7312,Craig Goodwin,1,4,0.25
68,2022,44,Inglaterra,1283,Jack Grealish,1,5,0.2
69,2022,65,Portugal,3243,Raphael Guerreiro,1,4,0.25
70,2022,1,Alemania,6115,Ilkay Gundogan,1,3,0.33
71,2022,24,Croacia,1095,Josko Gvardiol,1,7,0.14
72,2022,44,Inglaterra,1291,Jordan Henderson,1,4,0.25
73,2022,36,Francia,3941,Theo Hernandez,1,6,0.17
74,2022,65,Portugal,3245,Ricardo Horta,1,3,0.33
75,2022,21,Corea del Sur,6975,Hee-chan Hwang,1,2,0.5
76,2022,78,Túnez,7220,Wahbi Khazri,1,2,0.5
77,2022,21,Corea del Sur,7028,Young-gwon Kim,1,4,0.25
78,2022,60,Paises Bajos,6428,Davy Klaassen,1,4,0.25
79,2022,36,Francia,3952,Randal Kolo Muani,1,3,0.33
80,2022,70,Senegal,1044,Kalidou Koulibaly,1,4,0.25
81,2022,7,Australia,7333,Mathew Leckie,1,4,0.25
82,2022,24,Croacia,1117,Marko Livaja,1,6,0.17
83,2022,6,Argentina,5305,Alexis Mac Allister,1,6,0.17
84,2022,53,Japón,119,Daizen Maeda,1,3,0.33
85,2022,24,Croacia,1120,Lovro Majer,1,7,0.14
86,2022,56,México,7778,Henry Martin,1,2,0.5
87,2022,71,Serbia,3657,Sergej Milinkovic-savic,1,3,0.33
88,2022,6,Argentina,5322,Nahuel Molina,1,7,0.14
89,2022,16,Catar,6351,Mohammed Muntari,1,3,0.33
90,2022,34,España,5010,Dani Olmo,1,4,0.25
91,2022,24,Croacia,1127,Mislav Orsic,1,6,0.17
92,2022,21,Corea del Sur,7070,Seung-ho Paik,1,1,1.0
93,2022,11,Brasil,1747,Lucas Paqueta,1,4,0.25
94,2022,71,Serbia,3692,Strahinja Pavlovic,1,3,0.33
95,2022,65,Portugal,3292,Pepe,1,4,0.25
96,2022,24,Croacia,1129,Ivan Perisic,1,7,0.14
97,2022,24,Croacia,1130,Bruno Petkovic,1,6,0.17
98,2022,35,Estados Unidos,2865,Christian Pulisic,1,4,0.25
99,2022,36,Francia,4015,Adrien Rabiot,1,6,0.17
100,2022,48,Irán,4167,Ramin Rezaeian,1,2,0.5
101,2022,65,Portugal,3307,Cristiano Ronaldo,1,5,0.2
102,2022,55,Marruecos,8400,Romain Saiss,1,6,0.17
103,2022,38,Ghana,1502,Mohammed Salisu,1,3,0.33
104,2022,70,Senegal,1068,Ismaila Sarr,1,4,0.25
105,2022,74,Suiza,8190,Xherdan Shaqiri,1,3,0.33
106,2022,34,España,5071,Carlos Soler,1,2,0.5
107,2022,44,Inglaterra,1401,Raheem Sterling,1,3,0.33
108,2022,53,Japón,172,Ao Tanaka,1,3,0.33
109,2022,36,Francia,4048,Aurelien Tchouameni,1,7,0.14
110,2022,22,Costa Rica,2051,Yeltsin Tejeda,1,3,0.33
111,2022,22,Costa Rica,2056,Juan Pablo Vargas,1,1,1.0
112,2022,11,Brasil,1824,Vinicius Junior,1,4,0.25
113,2022,71,Serbia,3759,Dusan Vlahovic,1,2,0.5
114,2022,35,Estados Unidos,2897,Tim Weah,1,4,0.25
115,2022,35,Estados Unidos,2904,Haji Wright,1,4,0.25
116,2022,64,Polonia,3186,Piotr Zielinski,1,4,0.25
117,2022,55,Marruecos,8410,Hakim Ziyech,1,7,0.14
