id_tarjeta,anio,id_seleccion,pais,id_jugador,jugador,amarillas,rojas
1,2022,14,Camerún,861,Vincent Aboubakar,1,3
2,2022,55,Marruecos,8328,Walid Cheddira,1,2
3,2022,60,Paises Bajos,6400,Denzel Dumfries,1,5
4,2022,37,Gales,2545,Wayne Heennesey,1,2
5,2022,6,Argentina,5150,Marcos Acuna,3,6
6,2022,6,Argentina,5324,Gonzalo Montiel,3,4
7,2022,4,Arabia Saudita,4791,Abdulelah Al-amri,2,3
8,2022,4,Arabia Saudita,4805,Abdulelah Al-malki,2,2
9,2022,22,Costa Rica,1975,Francisco Calvo,2,2
10,2022,64,Polonia,3043,Matty Cash,2,4
11,2022,7,Australia,7303,Milos Degenek,2,4
12,2022,14,Camerún,896,Collins Fai,2,3
13,2022,71,Serbia,3584,Nemanja Gudelj,2,2
14,2022,70,Senegal,1039,Idrissa Gana Gueye,2,3
15,2022,7,Australia,7319,Jackson Irvine,2,4
16,2022,53,Japón,100,Ko Itakura,2,3
17,2022,48,Irán,4123,Alireza Jahanbakhsh,2,2
18,2022,21,Corea del Sur,6990,Woo-young Jung,2,4
19,2022,24,Croacia,1109,Mateo Kovacic,2,7
20,2022,71,Serbia,3640,Sasa Lukic,2,3
21,2022,27,Ecuador,48,Jhegson Mendez,2,2
22,2022,71,Serbia,3655,Nikola Milenkovic,2,3
23,2022,13,Bélgica,6670,Amadou Onana,2,2
24,2022,6,Argentina,5339,Nicolas Otamendi,2,7
25,2022,6,Argentina,5348,Leandro Paredes,2,5
26,2022,71,Serbia,3692,Strahinja Pavlovic,2,3
27,2022,6,Argentina,5385,Cristian Romero,2,7
28,2022,74,Suiza,8182,Fabian Schar,2,2
29,2022,38,Ghana,1504,Alidu Seidu,2,2
30,2022,78,Túnez,7148,Ali Abdi,1,3
31,2022,4,Arabia Saudita,4748,Saud Abdulhamid,1,3
32,2022,35,Estados Unidos,2737,Kellyn Acosta,1,2
33,2022,35,Estados Unidos,2738,Tyler Adams,1,4
34,2022,15,Canadá,2456,Sam Adekugbe,1,3
35,2022,16,Catar,6329,Akram Afif,1,3
36,2022,16,Catar,6330,Homam Ahmed,1,3
37,2022,74,Suiza,8037,Manuel Akanji,1,4
38,2022,60,Paises Bajos,6356,Nathan Ake,1,5
39,2022,16,Catar,6331,Saad Al Sheeb,1,1
40,2022,4,Arabia Saudita,4789,Nawaf Al-abed,1,2
41,2022,4,Arabia Saudita,4794,Ali Al-bulaihi,1,3
42,2022,4,Arabia Saudita,4797,Salem Al-dawsari,1,3
43,2022,4,Arabia Saudita,4801,Ali Al-hassan,1,1
44,2022,4,Arabia Saudita,4811,Mohammed Al-owais,1,3
45,2022,4,Arabia Saudita,4814,Saleh Al-shehri,1,3
46,2022,16,Catar,6337,Almoez Ali,1,3
47,2022,56,México,7638,Roberto Alvarado,1,1
48,2022,56,México,7639,Edson Alvarez,1,2
49,2022,55,Marruecos,8299,Selim Amallah,1,7
50,2022,38,Ghana,1455,Daniel Amartey,1,3
51,2022,55,Marruecos,8302,Sofyan Amrabat,1,7
52,2022,56,México,7646,Nestor Araujo,1,1
53,2022,38,Ghana,1462,Andre Ayew,1,3
54,2022,4,Arabia Saudita,4823,Hattan Bahebri,1,2
55,2022,37,Gales,2532,Gareth Bale,1,3
56,2022,24,Croacia,1080,Borna Barisic,1,1
57,2022,14,Camerún,869,Christian Bassogog,1,1
58,2022,7,Australia,7289,Aziz Behich,1,4
59,2022,80,Uruguay,5818,Rodrigo Bentancur,1,3
60,2022,64,Polonia,3032,Bartosz Bereszynski,1,4
61,2022,60,Paises Bajos,6361,Steven Berghuis,1,4
62,2022,60,Paises Bajos,6363,Steven Bergwijn,1,4
63,2022,22,Costa Rica,1971,Celso Borges,1,3
64,2022,16,Catar,6340,Karim Boudiaf,1,3
65,2022,55,Marruecos,8318,Sofiane Boufal,1,7
66,2022,24,Croacia,1086,Marcelo Brozovic,1,6
67,2022,15,Canadá,2459,Tajon Buchanan,1,3
68,2022,34,España,4879,Sergio Busquets,1,4
69,2022,80,Uruguay,5827,Martin Caceres,1,1
70,2022,27,Ecuador,18,Moises Caicedo,1,3
71,2022,22,Costa Rica,1977,Joel Campbell,1,3
72,2022,13,Bélgica,6565,Yannick Carrasco,1,2
73,2022,11,Brasil,1576,Casemiro,1,4
74,2022,80,Uruguay,5841,Edinson Cavani,1,3
75,2022,21,Corea del Sur,6932,Gue-sung Cho,1,4
76,2022,26,Dinamarca,4198,Andreas Christensen,1,3
77,2022,70,Senegal,1015,Pathe Ciss,1,3
78,2022,80,Uruguay,5843,Sebastian Coates,1,2
79,2022,74,Suiza,8068,Eray Comert,1,2
80,2022,22,Costa Rica,1987,Anthony Contreras,1,3
81,2022,26,Dinamarca,4203,Andreas Cornelius,1,3
82,2022,11,Brasil,1587,Danilo,1,3
83,2022,55,Marruecos,8335,Achraf Dari,1,3
84,2022,15,Canadá,2463,Alphonso Davies,1,3
85,2022,60,Paises Bajos,6387,Frenkie De Jong,1,5
86,2022,60,Paises Bajos,6391,Matthijs De Ligt,1,2
87,2022,36,Francia,3892,Ousmane Dembele,1,7
88,2022,13,Bélgica,6606,Leander Dendoncker,1,2
89,2022,60,Paises Bajos,6397,Memphis Depay,1,5
90,2022,35,Estados Unidos,2784,Sergino Dest,1,4
91,2022,70,Senegal,1021,Boulaye Dia,1,4
92,2022,65,Portugal,3223,Ruben Dias,1,4
93,2022,22,Costa Rica,1993,Oscar Duarte,1,3
94,2022,7,Australia,7306,Mitchell Duke,1,4
95,2022,74,Suiza,8083,Nico Elvedi,1,2
96,2022,53,Japón,85,Wataru Endo,1,4
97,2022,65,Portugal,3229,Joao Felix,1,4
98,2022,65,Portugal,3230,Bruno Fernandes,1,4
99,2022,6,Argentina,5251,Enzo Fernandez,1,7
100,2022,64,Polonia,3058,Przemyslaw Frankowski,1,4
101,2022,11,Brasil,1634,Fred,1,4
102,2022,80,Uruguay,5882,Jose Maria Gimenez,1,3
103,2022,36,Francia,3923,Olivier Giroud,1,6
104,2022,1,Alemania,6110,Leon Goretzka,1,3
105,2022,36,Francia,3930,Antoine Griezmann,1,7
106,2022,11,Brasil,1650,Bruno Guimaraes,1,2
107,2022,56,México,7742,Erick Gutierrez,1,1
108,2022,36,Francia,3941,Theo Hernandez,1,6
109,2022,56,México,7755,Hector Herrera,1,2
110,2022,15,Canadá,2470,Junior Hoilett,1,3
111,2022,48,Irán,4122,Majid Hosseini,1,3
112,2022,21,Corea del Sur,6975,Hee-chan Hwang,1,2
113,2022,70,Senegal,1042,Ismail Jakobs,1,4
114,2022,48,Irán,4125,Abolfazl Jalali,1,1
115,2022,37,Gales,2548,Dan James,1,3
116,2022,26,Dinamarca,4227,Mathias Jensen,1,2
117,2022,15,Canadá,2474,Alistair Johnston,1,3
118,2022,71,Serbia,3609,Luka Jovic,1,1
119,2022,48,Irán,4127,Hossein Kanaani,1,1
120,2022,78,Túnez,7216,Wajdi Kechrida,1,3
121,2022,1,Alemania,6166,Thilo Kehrer,1,1
122,2022,78,Túnez,7221,Taha Yassine Khenissi,1,2
123,2022,21,Corea del Sur,7028,Young-gwon Kim,1,4
124,2022,1,Alemania,6170,Joshua Kimmich,1,3
125,2022,64,Polonia,3091,Jakub Kiwior,1,4
126,2022,60,Paises Bajos,6433,Teun Koopmeiners,1,5
127,2022,70,Senegal,1044,Kalidou Koulibaly,1,4
128,2022,36,Francia,3957,Jules Kounde,1,6
129,2022,26,Dinamarca,4236,Rasmus Kristensen,1,3
130,2022,64,Polonia,3100,Grzegorz Krychowiak,1,4
131,2022,38,Ghana,1479,Mohammed Kudus,1,3
132,2022,14,Camerún,915,Pierre Kunde,1,2
133,2022,78,Túnez,7224,Aissa Laidouni,1,3
134,2022,38,Ghana,1483,Tariq Lamptey,1,2
