anio,jugador,pais,amarillas,rojas
2022,Vincent Aboubakar,Camerún,1,3
2022,Walid Cheddira,Marruecos,1,2
2022,Denzel Dumfries,Paises Bajos,1,5
2022,Wayne Heennesey,Gales,1,2
2022,Marcos Acuna,Argentina,3,6
2022,Gonzalo Montiel,Argentina,3,4
2022,Abdulelah Al-amri,Arabia Saudita,2,3
2022,Abdulelah Al-malki,Arabia Saudita,2,2
2022,Francisco Calvo,Costa Rica,2,2
2022,Matty Cash,Polonia,2,4
2022,Milos Degenek,Australia,2,4
2022,Collins Fai,Camerún,2,3
2022,Nemanja Gudelj,Serbia,2,2
2022,Idrissa Gana Gueye,Senegal,2,3
2022,Jackson Irvine,Australia,2,4
2022,Ko Itakura,Japón,2,3
2022,Alireza Jahanbakhsh,Irán,2,2
2022,Woo-young Jung,Corea del Sur,2,4
2022,Mateo Kovacic,Croacia,2,7
2022,Sasa Lukic,Serbia,2,3
2022,Jhegson Mendez,Ecuador,2,2
2022,Nikola Milenkovic,Serbia,2,3
2022,Amadou Onana,Bélgica,2,2
2022,Nicolas Otamendi,Argentina,2,7
2022,Leandro Paredes,Argentina,2,5
2022,Strahinja Pavlovic,Serbia,2,3
2022,Cristian Romero,Argentina,2,7
2022,Fabian Schar,Suiza,2,2
2022,Alidu Seidu,Ghana,2,2
2022,Ali Abdi,Túnez,1,3
2022,Saud Abdulhamid,Arabia Saudita,1,3
2022,Kellyn Acosta,Estados Unidos,1,2
2022,Tyler Adams,Estados Unidos,1,4
2022,Sam Adekugbe,Canadá,1,3
2022,Akram Afif,Catar,1,3
2022,Homam Ahmed,Catar,1,3
2022,Manuel Akanji,Suiza,1,4
2022,Nathan Ake,Paises Bajos,1,5
2022,Saad Al Sheeb,Catar,1,1
2022,Nawaf Al-abed,Arabia Saudita,1,2
2022,Ali Al-bulaihi,Arabia Saudita,1,3
2022,Salem Al-dawsari,Arabia Saudita,1,3
2022,Ali Al-hassan,Arabia Saudita,1,1
2022,Mohammed Al-owais,Arabia Saudita,1,3
